,type,value,date
586,TMIN,150,1972-10-1
587,PRCP,0,1972-10-1
588,TMAX,270,1972-11-1
589,TMIN,155,1972-11-1
590,PRCP,0,1972-11-1
591,TMAX,240,1972-12-1
592,TMIN,160,1972-12-1
593,PRCP,0,1972-12-1
594,TMAX,260,1973-01-1
595,TMIN,100,1973-01-1
596,PRCP,0,1973-01-1
597,TMAX,240,1973-02-1
598,TMIN,120,1973-02-1
599,PRCP,0,1973-02-1
600,TMAX,270,1973-03-1
601,TMIN,130,1973-03-1
602,PRCP,0,1973-03-1
603,TMAX,310,1973-04-1
604,TMIN,160,1973-04-1
605,PRCP,0,1973-04-1
606,TMAX,300,1973-05-1
607,TMIN,150,1973-05-1
608,PRCP,0,1973-05-1
609,TMAX,280,1973-06-1
610,TMIN,160,1973-06-1
611,PRCP,0,1973-06-1
612,TMAX,230,1973-08-1
613,TMIN,150,1973-08-1
614,PRCP,0,1973-08-1
615,TMAX,240,1973-09-1
616,TMIN,150,1973-09-1
617,PRCP,15,1973-09-1
618,TMAX,230,1973-10-1
619,TMIN,160,1973-10-1
620,PRCP,135,1973-10-1
621,TMAX,250,1973-11-1
622,TMIN,130,1973-11-1
623,PRCP,0,1973-11-1
624,TMAX,240,1973-12-1
625,TMIN,100,1973-12-1
626,PRCP,0,1973-12-1
629,PRCP,0,1974-01-1
630,TMAX,265,1974-02-1
631,TMIN,145,1974-02-1
632,PRCP,0,1974-02-1
633,TMAX,270,1974-03-1
634,TMIN,100,1974-03-1
635,PRCP,0,1974-03-1
636,TMAX,300,1974-04-1
637,TMIN,145,1974-04-1
638,PRCP,0,1974-04-1
639,TMAX,300,1974-05-1
640,TMIN,160,1974-05-1
641,PRCP,0,1974-05-1
642,TMAX,280,1974-06-1
643,TMIN,180,1974-06-1
644,PRCP,65,1974-06-1
645,TMAX,240,1974-07-1
646,TMIN,180,1974-07-1
647,PRCP,10,1974-07-1
648,TMAX,240,1974-08-1
649,TMIN,160,1974-08-1
650,PRCP,0,1974-08-1
651,TMAX,250,1974-09-1
652,TMIN,150,1974-09-1
653,PRCP,25,1974-09-1
654,TMAX,230,1974-10-1
655,TMIN,140,1974-10-1
656,PRCP,55,1974-10-1
657,TMAX,270,1974-11-1
658,TMIN,160,1974-11-1
659,PRCP,0,1974-11-1
660,TMAX,250,1974-12-1
661,TMIN,130,1974-12-1
662,PRCP,0,1974-12-1
663,TMAX,250,1975-01-1
664,TMIN,130,1975-01-1
665,PRCP,0,1975-01-1
666,TMAX,300,1975-02-1
667,TMIN,160,1975-02-1
668,PRCP,0,1975-02-1
669,TMAX,290,1975-03-1
670,TMIN,170,1975-03-1
671,PRCP,0,1975-03-1
672,TMAX,300,1975-04-1
673,TMIN,170,1975-04-1
674,PRCP,0,1975-04-1
675,TMAX,310,1975-05-1
676,TMIN,190,1975-05-1
677,PRCP,0,1975-05-1
678,TMAX,240,1975-06-1
679,TMIN,160,1975-06-1
680,PRCP,10,1975-06-1
681,TMAX,260,1975-07-1
682,TMIN,150,1975-07-1
683,PRCP,0,1975-07-1
684,TMAX,270,1975-08-1
685,TMIN,160,1975-08-1
686,PRCP,0,1975-08-1
687,TMAX,220,1975-09-1
688,TMIN,160,1975-09-1
689,PRCP,45,1975-09-1
690,TMAX,270,1975-10-1
691,TMIN,150,1975-10-1
692,PRCP,0,1975-10-1
